     Row  Symbol          a1          a2          a3          a4          b1          b2          b3          b4           c
     194    th+4   35.100700   22.441799    9.785540    5.294440    0.555054    3.244980   13.466100   23.953300   13.375999
     195    pa     35.884701   23.294800   14.189100    4.172870    0.547751    3.415190   16.923500  105.250999   13.428699
     196    u      36.022800   23.412800   14.949100    4.188000    0.529300    3.325300   16.092699  100.612999   13.396600
     197    u+3    35.574699   22.525900   12.216499    5.370730    0.520480    3.122930   12.714800   26.339399   13.309200
     198    u+4    35.371498   22.532600   12.029100    4.798400    0.516598    3.050530   12.572300   23.458200   13.267099
     199    u+6    34.850899   22.758400   14.009900    1.214570    0.507079    2.890300   13.176700   25.201700   13.166500
     200    np     36.187401   23.596399   15.640200    4.185500    0.511929    3.253960   15.362200   97.490799   13.357300
     201    np+3   35.707397   22.612999   12.989799    5.432270    0.502322    3.038070   12.144899   25.492800   13.254400
     202    np+4   35.510300   22.578699   12.776600    4.921590    0.498626    2.966270   11.948400   22.750200   13.211599
     203    np+6   35.013599   22.728600   14.388400    1.756690    0.489810    2.810990   12.330000   22.658100   13.113000
     204    pu     36.525398   23.808300   16.770700    3.479470    0.499384    3.263710   14.945499  105.979996   13.381200
     205    pu+3   35.840000   22.716900   13.580700    5.660160    0.484936    2.961180   11.533100   24.399200   13.199100
     206    pu+4   35.649300   22.646000   13.359500    5.188310    0.481422    2.890200   11.316000   21.830099   13.155500
     207    pu+6   35.173599   22.718100   14.763500    2.286780    0.473204    2.738480   11.552999   20.930300   13.058200
     208    am     36.670601   24.099199   17.341499    3.493310    0.483629    3.206470   14.313600  102.272995   13.359200
     209    cm     36.648800   24.409599   17.399000    4.216650    0.465154    3.089970   13.434600   88.483398   13.288700
     210    bk     36.788101   24.773600   17.891899    4.232840    0.451018    3.046190   12.894600   86.002998   13.275400
     211    cf     36.918499   25.199499   18.331699    4.243910    0.437533    3.007750   12.404400   83.788101   13.267400
     212    o-2     4.758000    3.637000    0.000000    0.000000    7.831000   30.049999    0.000000    0.000000    1.594000
     213    ze      0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
     214    d       0.493002    0.322912    0.140191    0.040810   10.510900   26.125700    3.142360   57.799698    0.003038
